X,Y,PILE ID,Pile Color,X,Y,Z
-93.9962953381786,34.9197845974786,5.65-S1.R040.F,Light Blue,13689090.36,3012207.276,70.53770434
-93.9963821054248,34.9198019960929,5.65-S1.R040.G,Dark Blue,13689063.59,3012207.276,70.41269593
-93.9964688727075,34.9198193946455,5.65-S1.R040.H,Light Blue,13689036.82,3012207.276,70.28768751
-93.9965579412896,34.9198372545822,5.65-S1.R040.I,Light Blue,13689009.34,3012207.276,70.1593636
-93.9966470099101,34.9198551144538,5.65-S1.R040.J,Light Blue,13688981.86,3012207.276,70.03103968
-93.9967360785691,34.9198729742604,5.65-S1.R040.K,Yellow,13688954.38,3012207.276,69.90271577
-93.9968142243565,34.9198886437823,5.65-S1.R040.L,Yellow,13688930.27,3012207.276,69.79012881
-93.9958560603247,34.9197530704849,5.65-S1.R041.A,Orange,13689221.02,3012227.276,71.14785
-93.995923282962,34.9197665502714,5.65-S1.R041.B,Black,13689200.28,3012227.276,71.051
-93.9960123513696,34.9197844106065,5.65-S1.R041.C,Orange,13689172.8,3012227.276,70.92267608
-93.9961014198156,34.9198022708765,5.65-S1.R041.D,Light Blue,13689145.32,3012227.276,70.79435217
-93.9961904883,34.9198201310815,5.65-S1.R041.E,Light Blue,13689117.84,3012227.276,70.66602825
-93.9962795568229,34.9198379912213,5.65-S1.R041.F,Light Blue,13689090.36,3012227.276,70.53770434
-93.9963663241217,34.9198553898467,5.65-S1.R041.G,Dark Blue,13689063.59,3012227.276,70.41269593
-93.996453091457,34.9198727884103,5.65-S1.R041.H,Light Blue,13689036.82,3012227.276,70.28768751
-93.9965421600932,34.9198906483583,5.65-S1.R041.I,Light Blue,13689009.34,3012227.276,70.1593636
-93.9966312287678,34.9199085082412,5.65-S1.R041.J,Light Blue,13688981.86,3012227.276,70.03103968
-93.9967202974808,34.9199263680591,5.65-S1.R041.K,Yellow,13688954.38,3012227.276,69.90271577
-93.9967984433156,34.9199420375909,5.65-S1.R041.L,Yellow,13688930.27,3012227.276,69.79012881
-93.9958402786917,34.9198064641712,5.65-S1.R042.A,Orange,13689221.02,3012247.276,71.14785
-93.9959075013698,34.9198199439662,5.65-S1.R042.B,Black,13689200.28,3012247.276,71.051
-93.9959965698314,34.9198378043127,5.65-S1.R042.C,Light Blue,13689172.8,3012247.276,70.92267608
-93.9960856383315,34.919855664594,5.65-S1.R042.D,Light Blue,13689145.32,3012247.276,70.79435217
-93.9961747068699,34.9198735248102,5.65-S1.R042.E,Light Blue,13689117.84,3012247.276,70.66602825
-93.9962637754468,34.9198913849614,5.65-S1.R042.F,Light Blue,13689090.36,3012247.276,70.53770434
-93.9963505427983,34.9199087835978,5.65-S1.R042.G,Dark Blue,13689063.59,3012247.276,70.41269593
-93.9964373101863,34.9199261821724,5.65-S1.R042.H,Light Blue,13689036.82,3012247.276,70.28768751
-93.9965263788765,34.9199440421317,5.65-S1.R042.I,Light Blue,13689009.34,3012247.276,70.1593636
-93.9966154476051,34.919961902026,5.65-S1.R042.J,Yellow,13688981.86,3012247.276,70.03103968
-93.9967045163721,34.9199797618551,5.65-S1.R042.K,Yellow,13688954.38,3012247.276,69.90271577
-93.9967826622543,34.9199954313969,5.65-S1.R042.L,Yellow,13688930.27,3012247.276,69.79012881
-93.9958244970384,34.9198598578548,5.65-S1.R043.A,Orange,13689221.02,3012267.276,71.14785
-93.9958917197573,34.9198733376584,5.65-S1.R043.B,Black,13689200.28,3012267.276,71.051
-93.9959807882729,34.9198911980161,5.65-S1.R043.C,Light Blue,13689172.8,3012267.276,70.92267608
-93.996069856827,34.9199090583088,5.65-S1.R043.D,Light Blue,13689145.32,3012267.276,70.79435217
-93.9961589254195,34.9199269185364,5.65-S1.R043.E,Light Blue,13689117.84,3012267.276,70.66602825
-93.9962479940504,34.9199447786989,5.65-S1.R043.F,Light Blue,13689090.36,3012267.276,70.53770434
-93.9963347614545,34.9199621773462,5.65-S1.R043.G,Dark Blue,13689063.59,3012267.276,70.41269593
-93.9964215288951,34.9199795759319,5.65-S1.R043.H,Light Blue,13689036.82,3012267.276,70.28768751
-93.9965105976394,34.9199974359025,5.65-S1.R043.I,Light Blue,13689009.34,3012267.276,70.1593636
-93.996599666422,34.9200152958081,5.65-S1.R043.J,Yellow,13688981.86,3012267.276,70.03103968
-93.9966887352431,34.9200331556485,5.65-S1.R043.K,Yellow,13688954.38,3012267.276,69.90271577
-93.9967668811727,34.9200488252003,5.65-S1.R043.L,Yellow,13688930.27,3012267.276,69.79012881
-93.9958087153647,34.9199132515358,5.65-S1.R044.A,Orange,13689221.02,3012287.276,71.14785
-93.9958759381243,34.9199267313479,5.65-S1.R044.B,Black,13689200.28,3012287.276,71.051
-93.995965006694,34.919944591717,5.65-S1.R044.C,Orange,13689172.8,3012287.276,70.92267608
-93.9960540753021,34.9199624520209,5.65-S1.R044.D,Orange,13689145.32,3012287.276,70.79435217
-93.9961431439487,34.9199803122598,5.65-S1.R044.E,Light Blue,13689117.84,3012287.276,70.66602825
-93.9962322126336,34.9199981724336,5.65-S1.R044.F,Light Blue,13689090.36,3012287.276,70.53770434
-93.9963189800904,34.920015571092,5.65-S1.R044.G,Dark Blue,13689063.59,3012287.276,70.41269593
-93.9964057475836,34.9200329696887,5.65-S1.R044.H,Light Blue,13689036.82,3012287.276,70.28768751
-93.9964948163819,34.9200508296706,5.65-S1.R044.I,Light Blue,13689009.34,3012287.276,70.1593636
-93.9965838852186,34.9200686895875,5.65-S1.R044.J,Yellow,13688981.86,3012287.276,70.03103968
-93.9966729540937,34.9200865494393,5.65-S1.R044.K,Light Blue,13688954.38,3012287.276,69.90271577
-93.9967511000708,34.9201022190009,5.65-S1.R044.L,Yellow,13688930.27,3012287.276,69.79012881
-93.9957929336706,34.9199666452141,5.65-S1.R045.A,Orange,13689221.02,3012307.276,71.14785
-93.9958601564711,34.9199801250348,5.65-S1.R045.B,Black,13689200.28,3012307.276,71.051
-93.9959492250948,34.9199979854152,5.65-S1.R045.C,Orange,13689172.8,3012307.276,70.92267608
-93.9960382937569,34.9200158457304,5.65-S1.R045.D,Orange,13689145.32,3012307.276,70.79435217
-93.9961273624575,34.9200337059806,5.65-S1.R045.E,Light Blue,13689117.84,3012307.276,70.66602825
-93.9962164311965,34.9200515661657,5.65-S1.R045.F,Light Blue,13689090.36,3012307.276,70.53770434
-93.9963031987059,34.9200689648352,5.65-S1.R045.G,Pink,13689063.59,3012307.276,70.41269593
