Name,Latitude,Longitude,Special WP,Dominant
187,35.0294175,-118.1372981,0,"green"
199,35.0294190,-118.1372329,0,"green"
211,35.0294205,-118.1371677,0,"green"
223,35.0294220,-118.1371024,0,"green"
235,35.0294236,-118.1370372,0,"green"
247,35.0294251,-118.1369720,0,"yellow"
248,35.0293364,-118.1369718,0,"blue"
236,35.0293349,-118.1370371,0,"blue"
224,35.0293334,-118.1371023,0,"blue"
212,35.0293319,-118.1371675,0,"blue"
200,35.0293303,-118.1372328,0,"blue"
188,35.0293288,-118.1372980,0,"blue"
176,35.0293273,-118.1373632,0,"blue"
164,35.0293258,-118.1374285,0,"blue"
152,35.0293243,-118.1374937,0,"green - black"
140,35.0293228,-118.1375590,0,"blue"
128,35.0293213,-118.1376242,0,"blue"
116,35.0293198,-118.1376894,0,"blue"
104,35.0293183,-118.1377547,0,"blue"
92,35.0293167,-118.1378199,0,"blue"
80,35.0293152,-118.1378851,0,"blue"
68,35.0293137,-118.1379504,0,"blue"
56,35.0293122,-118.1380156,0,"blue"
44,35.0293107,-118.1380808,0,"blue"
32,35.0293092,-118.1381461,0,"blue"
20,35.0293077,-118.1382113,0,"yellow - black"
8,35.0293062,-118.1382765,0,"yellow - black"
9,35.0292134,-118.1382764,0,"yellow - black"
21,35.0292149,-118.1382111,0,"yellow - black"
33,35.0292165,-118.1381459,0,"blue"
45,35.0292180,-118.1380807,0,"blue"
57,35.0292195,-118.1380154,0,"blue"
69,35.0292210,-118.1379502,0,"blue"
81,35.0292225,-118.1378850,0,"blue"
93,35.0292240,-118.1378197,0,"blue"
105,35.0292255,-118.1377545,0,"blue"
117,35.0292270,-118.1376893,0,"blue"
129,35.0292285,-118.1376240,0,"blue"
141,35.0292301,-118.1375588,0,"blue"
153,35.0292316,-118.1374935,0,"green - black"
165,35.0292331,-118.1374283,0,"blue"
177,35.0292346,-118.1373631,0,"blue"
189,35.0292361,-118.1372978,0,"blue"
201,35.0292376,-118.1372326,0,"blue"
213,35.0292391,-118.1371674,0,"blue"
225,35.0292406,-118.1371021,0,"blue"
237,35.0292422,-118.1370369,0,"blue"
249,35.0292437,-118.1369717,0,"blue"
250,35.0291509,-118.1369715,0,"blue"
238,35.0291494,-118.1370368,0,"blue"
226,35.0291479,-118.1371020,0,"blue"
214,35.0291464,-118.1371672,0,"blue"
202,35.0291449,-118.1372325,0,"blue"
190,35.0291434,-118.1372977,0,"blue"
178,35.0291419,-118.1373629,0,"blue"
166,35.0291404,-118.1374282,0,"blue"
154,35.0291388,-118.1374934,0,"blue - black"
142,35.0291373,-118.1375587,0,"blue"
130,35.0291358,-118.1376239,0,"blue"
118,35.0291343,-118.1376891,0,"blue"
106,35.0291328,-118.1377544,0,"blue"
94,35.0291313,-118.1378196,0,"blue"
82,35.0291298,-118.1378848,0,"purple"
70,35.0291283,-118.1379501,0,"purple"
58,35.0291268,-118.1380153,0,"blue"
46,35.0291252,-118.1380805,0,"blue"
34,35.0291237,-118.1381458,0,"blue"
22,35.0291222,-118.1382110,0,"yellow - black"
10,35.0291207,-118.1382762,0,"yellow - black"
11,35.0290393,-118.1382761,0,"yellow - black"
23,35.0290408,-118.1382109,0,"yellow - black"
35,35.0290424,-118.1381456,0,"purple"
47,35.0290439,-118.1380804,0,"purple"
59,35.0290454,-118.1380152,0,"purple"
71,35.0290469,-118.1379499,0,"purple"
83,35.0290484,-118.1378847,0,"purple"
95,35.0290499,-118.1378195,0,"purple"
107,35.0290514,-118.1377542,0,"purple"
119,35.0290529,-118.1376890,0,"purple"
131,35.0290545,-118.1376238,0,"purple"
143,35.0290560,-118.1375585,0,"purple"
155,35.0290575,-118.1374933,0,"blue - black"
167,35.0290590,-118.1374280,0,"blue"
179,35.0290605,-118.1373628,0,"blue"
191,35.0290620,-118.1372976,0,"blue"
203,35.0290635,-118.1372323,0,"blue"
215,35.0290650,-118.1371671,0,"blue"
227,35.0290665,-118.1371019,0,"blue"
239,35.0290681,-118.1370366,0,"blue"
251,35.0290696,-118.1369714,0,"blue"
252,35.0289882,-118.1369713,0,"blue - black"
240,35.0289867,-118.1370365,0,"blue - black"
228,35.0289852,-118.1371017,0,"blue - black"
216,35.0289837,-118.1371670,0,"blue - black"
204,35.0289822,-118.1372322,0,"blue - black"
192,35.0289806,-118.1372974,0,"purple - black"
180,35.0289791,-118.1373627,0,"purple - black"
168,35.0289776,-118.1374279,0,"purple - black"
156,35.0289761,-118.1374931,0,"blue - black"
144,35.0289746,-118.1375584,0,"purple - black"
132,35.0289731,-118.1376236,0,"purple - black"
120,35.0289716,-118.1376889,0,"purple - black"
108,35.0289701,-118.1377541,0,"purple - black"
96,35.0289685,-118.1378193,0,"purple - black"
84,35.0289670,-118.1378846,0,"purple - black"
72,35.0289655,-118.1379498,0,"blue - black"
60,35.0289640,-118.1380150,0,"purple - black"
48,35.0289625,-118.1380803,0,"purple - black"
36,35.0289610,-118.1381455,0,"purple - black"
24,35.0289595,-118.1382107,0,"yellow - black"
12,35.0289580,-118.1382760,0,"yellow - black"
253,35.0288922,-118.1382758,0,"yellow - black"
265,35.0288937,-118.1382106,0,"yellow - black"
277,35.0288952,-118.1381454,0,"blue - black"
289,35.0288967,-118.1380801,0,"purple - black"
301,35.0288983,-118.1380149,0,"purple - black"
313,35.0288998,-118.1379497,0,"blue - black"
325,35.0289013,-118.1378844,0,"blue - black"
337,35.0289028,-118.1378192,0,"blue - black"
349,35.0289043,-118.1377540,0,"blue - black"
361,35.0289058,-118.1376887,0,"blue - black"
373,35.0289073,-118.1376235,0,"blue - black"
385,35.0289088,-118.1375583,0,"blue - black"
397,35.0289103,-118.1374930,0,"blue - black"
409,35.0289119,-118.1374278,0,"blue - black"
421,35.0289134,-118.1373625,0,"blue - black"
433,35.0289149,-118.1372973,0,"blue - black"
445,35.0289164,-118.1372321,0,"blue - black"
457,35.0289179,-118.1371668,0,"blue - black"
469,35.0289194,-118.1371016,0,"blue - black"
481,35.0289209,-118.1370364,0,"blue - black"
493,35.0289224,-118.1369711,0,"purple - black"
494,35.0288411,-118.1369710,0,"blue"
482,35.0288396,-118.1370362,0,"blue"
470,35.0288380,-118.1371015,0,"blue"
458,35.0288365,-118.1371667,0,"blue"
446,35.0288350,-118.1372319,0,"blue"
434,35.0288335,-118.1372972,0,"blue"
422,35.0288320,-118.1373624,0,"blue"
410,35.0288305,-118.1374276,0,"blue"
398,35.0288290,-118.1374929,0,"blue - black"
386,35.0288275,-118.1375581,0,"blue"
374,35.0288260,-118.1376234,0,"blue"
362,35.0288244,-118.1376886,0,"blue"
350,35.0288229,-118.1377538,0,"blue"
338,35.0288214,-118.1378191,0,"blue"
326,35.0288199,-118.1378843,0,"blue"
314,35.0288184,-118.1379495,0,"blue"
302,35.0288169,-118.1380148,0,"blue"
290,35.0288154,-118.1380800,0,"blue"
278,35.0288139,-118.1381452,0,"blue"
266,35.0288124,-118.1382105,0,"yellow - black"
254,35.0288108,-118.1382757,0,"yellow - black"
255,35.0287295,-118.1382756,0,"yellow - black"
267,35.0287310,-118.1382103,0,"yellow - black"
279,35.0287325,-118.1381451,0,"blue"
291,35.0287340,-118.1380799,0,"blue"
303,35.0287355,-118.1380146,0,"blue"
315,35.0287371,-118.1379494,0,"blue"
327,35.0287386,-118.1378842,0,"blue"
339,35.0287401,-118.1378189,0,"blue"
351,35.0287416,-118.1377537,0,"blue"
363,35.0287431,-118.1376885,0,"blue"
375,35.0287446,-118.1376232,0,"blue"
387,35.0287461,-118.1375580,0,"blue"
399,35.0287476,-118.1374927,0,"blue - black"
411,35.0287491,-118.1374275,0,"blue"
423,35.0287507,-118.1373623,0,"blue"
435,35.0287522,-118.1372970,0,"blue"
447,35.0287537,-118.1372318,0,"blue"
459,35.0287552,-118.1371666,0,"blue"
471,35.0287567,-118.1371013,0,"blue"
483,35.0287582,-118.1370361,0,"blue"
495,35.0287597,-118.1369709,0,"blue"
496,35.0286670,-118.1369707,0,"blue"
484,35.0286655,-118.1370360,0,"blue"
472,35.0286640,-118.1371012,0,"blue"
460,35.0286625,-118.1371664,0,"blue"
448,35.0286610,-118.1372317,0,"blue"
436,35.0286594,-118.1372969,0,"blue"
424,35.0286579,-118.1373621,0,"blue"
412,35.0286564,-118.1374274,0,"blue"
400,35.0286549,-118.1374926,0,"blue - black"
388,35.0286534,-118.1375579,0,"blue"
376,35.0286519,-118.1376231,0,"blue"
364,35.0286504,-118.1376883,0,"blue"
352,35.0286489,-118.1377536,0,"blue"
340,35.0286474,-118.1378188,0,"blue"
328,35.0286458,-118.1378840,0,"blue"
316,35.0286443,-118.1379493,0,"blue"
304,35.0286428,-118.1380145,0,"blue"
292,35.0286413,-118.1380797,0,"blue"
280,35.0286398,-118.1381450,0,"blue"
268,35.0286383,-118.1382102,0,"yellow - black"
256,35.0286368,-118.1382754,0,"yellow - black"
257,35.0285440,-118.1382753,0,"yellow - black"
269,35.0285456,-118.1382100,0,"yellow - black"
281,35.0285471,-118.1381448,0,"blue"
293,35.0285486,-118.1380796,0,"blue"
305,35.0285501,-118.1380143,0,"blue"
317,35.0285516,-118.1379491,0,"blue"
329,35.0285531,-118.1378839,0,"blue"
341,35.0285546,-118.1378186,0,"blue"
353,35.0285561,-118.1377534,0,"blue"
365,35.0285576,-118.1376882,0,"blue"
377,35.0285592,-118.1376229,0,"blue"
389,35.0285607,-118.1375577,0,"blue"
401,35.0285622,-118.1374924,0,"blue - black"
413,35.0285637,-118.1374272,0,"blue"
425,35.0285652,-118.1373620,0,"blue"
437,35.0285667,-118.1372967,0,"blue"
449,35.0285682,-118.1372315,0,"blue"
461,35.0285697,-118.1371663,0,"blue"
473,35.0285712,-118.1371010,0,"blue"
485,35.0285728,-118.1370358,0,"blue"
497,35.0285743,-118.1369706,0,"blue"
498,35.0284815,-118.1369704,0,"blue"
486,35.0284800,-118.1370356,0,"blue"
474,35.0284785,-118.1371009,0,"blue"
462,35.0284770,-118.1371661,0,"blue"
450,35.0284755,-118.1372313,0,"blue"
438,35.0284740,-118.1372966,0,"blue"
426,35.0284725,-118.1373618,0,"blue"
414,35.0284710,-118.1374270,0,"blue"
402,35.0284695,-118.1374923,0,"blue - black"
390,35.0284679,-118.1375575,0,"blue"
378,35.0284664,-118.1376228,0,"blue"
366,35.0284649,-118.1376880,0,"blue"
354,35.0284634,-118.1377532,0,"blue"
342,35.0284619,-118.1378185,0,"blue"
330,35.0284604,-118.1378837,0,"blue"
318,35.0284589,-118.1379489,0,"blue"
306,35.0284574,-118.1380142,0,"blue"
294,35.0284559,-118.1380794,0,"blue"
282,35.0284543,-118.1381446,0,"blue"
270,35.0284528,-118.1382099,0,"yellow - black"
258,35.0284513,-118.1382751,0,"yellow - black"
259,35.0283626,-118.1382750,0,"white"
271,35.0283642,-118.1382097,0,"white"
283,35.0283657,-118.1381445,0,"green"
295,35.0283672,-118.1380793,0,"green"
307,35.0283687,-118.1380140,0,"green"
319,35.0283702,-118.1379488,0,"green"
331,35.0283717,-118.1378836,0,"green"
343,35.0283732,-118.1378183,0,"green"
355,35.0283747,-118.1377531,0,"green"
367,35.0283762,-118.1376879,0,"green"
379,35.0283778,-118.1376226,0,"green"
391,35.0283793,-118.1375574,0,"green"
403,35.0283808,-118.1374921,0,"green"
415,35.0283823,-118.1374269,0,"green"
427,35.0283838,-118.1373617,0,"green"
439,35.0283853,-118.1372964,0,"green"
451,35.0283868,-118.1372312,0,"green"
463,35.0283883,-118.1371660,0,"green"
475,35.0283898,-118.1371007,0,"green"
487,35.0283914,-118.1370355,0,"green"
499,35.0283929,-118.1369703,0,"yellow"
500,35.0283042,-118.1369701,0,"blue"
488,35.0283027,-118.1370354,0,"blue"
476,35.0283012,-118.1371006,0,"blue"
464,35.0282997,-118.1371658,0,"blue"
452,35.0282981,-118.1372311,0,"blue"
440,35.0282966,-118.1372963,0,"blue"
428,35.0282951,-118.1373615,0,"blue"
416,35.0282936,-118.1374268,0,"blue"
404,35.0282921,-118.1374920,0,"blue - black"
392,35.0282906,-118.1375572,0,"blue"
380,35.0282891,-118.1376225,0,"blue"
368,35.0282876,-118.1376877,0,"blue"
356,35.0282861,-118.1377529,0,"blue"
344,35.0282845,-118.1378182,0,"blue"
332,35.0282830,-118.1378834,0,"blue"
320,35.0282815,-118.1379486,0,"blue"
308,35.0282800,-118.1380139,0,"blue"
296,35.0282785,-118.1380791,0,"blue"
284,35.0282770,-118.1381443,0,"blue"
272,35.0282755,-118.1382096,0,"yellow - black"
260,35.0282740,-118.1382748,0,"yellow - black"
261,35.0281812,-118.1382747,0,"yellow - black"
273,35.0281828,-118.1382094,0,"yellow - black"
285,35.0281843,-118.1381442,0,"blue"
297,35.0281858,-118.1380790,0,"blue"
309,35.0281873,-118.1380137,0,"blue"
321,35.0281888,-118.1379485,0,"blue"
333,35.0281903,-118.1378833,0,"blue"
345,35.0281918,-118.1378180,0,"blue"
357,35.0281933,-118.1377528,0,"blue"
369,35.0281948,-118.1376876,0,"blue"
381,35.0281964,-118.1376223,0,"blue"
393,35.0281979,-118.1375571,0,"blue"
405,35.0281994,-118.1374918,0,"blue - black"
417,35.0282009,-118.1374266,0,"blue"
429,35.0282024,-118.1373614,0,"blue"
441,35.0282039,-118.1372961,0,"blue"
453,35.0282054,-118.1372309,0,"blue"
465,35.0282069,-118.1371657,0,"blue"
477,35.0282084,-118.1371004,0,"blue"
489,35.0282100,-118.1370352,0,"blue"
501,35.0282115,-118.1369700,0,"blue"
502,35.0281187,-118.1369698,0,"blue"
490,35.0281172,-118.1370350,0,"blue"
478,35.0281157,-118.1371003,0,"blue"
466,35.0281142,-118.1371655,0,"blue"
454,35.0281127,-118.1372307,0,"blue"
442,35.0281112,-118.1372960,0,"blue"
430,35.0281097,-118.1373612,0,"blue"
418,35.0281082,-118.1374264,0,"blue"
406,35.0281066,-118.1374917,0,"blue - black"
394,35.0281051,-118.1375569,0,"blue"
382,35.0281036,-118.1376222,0,"blue"
370,35.0281021,-118.1376874,0,"blue"
358,35.0281006,-118.1377526,0,"blue"
346,35.0280991,-118.1378179,0,"blue"
334,35.0280976,-118.1378831,0,"blue"
322,35.0280961,-118.1379483,0,"blue"
310,35.0280946,-118.1380136,0,"blue"
298,35.0280930,-118.1380788,0,"blue"
286,35.0280915,-118.1381440,0,"blue"
274,35.0280900,-118.1382093,0,"yellow - black"
262,35.0280885,-118.1382745,0,"yellow - black"
263,35.0280071,-118.1382744,0,"yellow - black"
275,35.0280087,-118.1382091,0,"yellow - black"
287,35.0280102,-118.1381439,0,"green - black"
299,35.0280117,-118.1380787,0,"blue"
311,35.0280132,-118.1380134,0,"blue"
323,35.0280147,-118.1379482,0,"blue"
335,35.0280162,-118.1378830,0,"blue"
347,35.0280177,-118.1378177,0,"blue"
359,35.0280192,-118.1377525,0,"blue"
371,35.0280208,-118.1376873,0,"blue"
383,35.0280223,-118.1376220,0,"blue"
395,35.0280238,-118.1375568,0,"blue"
407,35.0280253,-118.1374915,0,"blue - black"
419,35.0280268,-118.1374263,0,"blue"
431,35.0280283,-118.1373611,0,"blue"
443,35.0280298,-118.1372958,0,"blue"
455,35.0280313,-118.1372306,0,"blue"
467,35.0280329,-118.1371654,0,"blue"
479,35.0280344,-118.1371001,0,"blue"
491,35.0280359,-118.1370349,0,"blue"
503,35.0280374,-118.1369697,0,"blue"
492,35.0279545,-118.1370348,0,"blue - black"
480,35.0279530,-118.1371000,0,"blue - black"
468,35.0279515,-118.1371652,0,"blue - black"
456,35.0279500,-118.1372305,0,"blue - black"
444,35.0279485,-118.1372957,0,"blue - black"
432,35.0279470,-118.1373609,0,"blue - black"
420,35.0279454,-118.1374262,0,"blue - black"
408,35.0279439,-118.1374914,0,"blue - black"
396,35.0279424,-118.1375567,0,"blue - black"
384,35.0279409,-118.1376219,0,"blue - black"
372,35.0279394,-118.1376871,0,"blue - black"
360,35.0279379,-118.1377524,0,"blue - black"
348,35.0279364,-118.1378176,0,"blue - black"
336,35.0279349,-118.1378828,0,"blue - black"
324,35.0279334,-118.1379481,0,"blue - black"
312,35.0279318,-118.1380133,0,"blue - black"
300,35.0279303,-118.1380785,0,"blue - black"
288,35.0279288,-118.1381438,0,"green - black"
276,35.0279273,-118.1382090,0,"yellow - black"
264,35.0279258,-118.1382742,0,"yellow - black"
504,35.0279560,-118.1369695,0,"blue - black"
829,35.0278156,-118.1365126,0,"blue - black"
817,35.0278141,-118.1365779,0,"blue - black"
805,35.0278126,-118.1366431,0,"blue - black"
793,35.0278111,-118.1367084,0,"blue - black"
781,35.0278096,-118.1367736,0,"blue - black"
769,35.0278081,-118.1368388,0,"blue - black"
757,35.0278066,-118.1369041,0,"blue - black"
745,35.0278051,-118.1369693,0,"blue - black"
733,35.0278036,-118.1370345,0,"blue - black"
721,35.0278020,-118.1370998,0,"blue - black"
709,35.0278005,-118.1371650,0,"blue - black"
697,35.0277990,-118.1372302,0,"blue - black"
685,35.0277975,-118.1372955,0,"blue - black"
673,35.0277960,-118.1373607,0,"blue - black"
661,35.0277945,-118.1374259,0,"blue - black"
649,35.0277930,-118.1374912,0,"blue - black"
637,35.0277915,-118.1375564,0,"blue - black"
625,35.0277900,-118.1376217,0,"blue - black"
613,35.0277884,-118.1376869,0,"blue - black"
601,35.0277869,-118.1377521,0,"blue - black"
589,35.0277854,-118.1378173,0,"blue - black"
577,35.0277839,-118.1378826,0,"blue - black"
565,35.0277824,-118.1379478,0,"blue - black"
553,35.0277809,-118.1380130,0,"blue - black"
541,35.0277794,-118.1380783,0,"blue - black"
529,35.0277779,-118.1381435,0,"green - black"
517,35.0277764,-118.1382087,0,"yellow - black"
505,35.0277748,-118.1382740,0,"yellow - black"
506,35.0276935,-118.1382738,0,"yellow - black"
518,35.0276950,-118.1382086,0,"yellow - black"
530,35.0276965,-118.1381434,0,"green - black"
542,35.0276980,-118.1380781,0,"blue"
554,35.0276995,-118.1380129,0,"blue"
566,35.0277010,-118.1379477,0,"blue"
578,35.0277026,-118.1378824,0,"blue"
590,35.0277041,-118.1378172,0,"blue"
602,35.0277056,-118.1377520,0,"blue"
614,35.0277071,-118.1376867,0,"blue"
626,35.0277086,-118.1376215,0,"blue"
638,35.0277101,-118.1375563,0,"blue"
650,35.0277116,-118.1374910,0,"blue - black"
662,35.0277131,-118.1374258,0,"blue"
674,35.0277147,-118.1373606,0,"blue"
686,35.0277162,-118.1372953,0,"blue"
698,35.0277177,-118.1372301,0,"blue"
710,35.0277192,-118.1371649,0,"blue"
722,35.0277207,-118.1370996,0,"blue"
734,35.0277222,-118.1370344,0,"blue"
746,35.0277237,-118.1369692,0,"blue"
758,35.0277252,-118.1369039,0,"blue"
770,35.0277267,-118.1368387,0,"blue"
782,35.0277283,-118.1367735,0,"blue"
794,35.0277298,-118.1367082,0,"blue"
806,35.0277313,-118.1366430,0,"blue"
818,35.0277328,-118.1365778,0,"blue"
830,35.0277343,-118.1365125,0,"blue"
831,35.0276529,-118.1365124,0,"blue"
819,35.0276514,-118.1365776,0,"blue"
807,35.0276499,-118.1366429,0,"blue"
795,35.0276484,-118.1367081,0,"blue"
783,35.0276469,-118.1367733,0,"blue"
771,35.0276454,-118.1368386,0,"blue"
759,35.0276439,-118.1369038,0,"blue"
747,35.0276424,-118.1369690,0,"blue"
735,35.0276409,-118.1370343,0,"blue"
723,35.0276393,-118.1370995,0,"blue"
711,35.0276378,-118.1371647,0,"blue"
699,35.0276363,-118.1372300,0,"blue"
687,35.0276348,-118.1372952,0,"blue"
675,35.0276333,-118.1373604,0,"blue"
663,35.0276318,-118.1374257,0,"blue"
651,35.0276303,-118.1374909,0,"blue - black"
639,35.0276288,-118.1375561,0,"blue"
627,35.0276273,-118.1376214,0,"blue"
615,35.0276257,-118.1376866,0,"blue"
603,35.0276242,-118.1377518,0,"blue"
591,35.0276227,-118.1378171,0,"blue"
579,35.0276212,-118.1378823,0,"blue"
567,35.0276197,-118.1379475,0,"blue"
555,35.0276182,-118.1380128,0,"blue"
543,35.0276167,-118.1380780,0,"blue"
531,35.0276152,-118.1381432,0,"blue"
519,35.0276136,-118.1382085,0,"yellow - black"
507,35.0276121,-118.1382737,0,"yellow - black"
508,35.0275194,-118.1382735,0,"yellow - black"
520,35.0275209,-118.1382083,0,"yellow - black"
532,35.0275224,-118.1381431,0,"blue"
544,35.0275239,-118.1380779,0,"blue"
556,35.0275255,-118.1380126,0,"blue"
568,35.0275270,-118.1379474,0,"blue"
580,35.0275285,-118.1378822,0,"blue"
592,35.0275300,-118.1378169,0,"blue"
604,35.0275315,-118.1377517,0,"blue"
616,35.0275330,-118.1376865,0,"blue"
628,35.0275345,-118.1376212,0,"blue"
640,35.0275360,-118.1375560,0,"blue"
652,35.0275375,-118.1374907,0,"blue - black"
664,35.0275391,-118.1374255,0,"blue"
676,35.0275406,-118.1373603,0,"blue"
688,35.0275421,-118.1372950,0,"blue"
700,35.0275436,-118.1372298,0,"blue"
712,35.0275451,-118.1371646,0,"blue"
724,35.0275466,-118.1370993,0,"purple"
736,35.0275481,-118.1370341,0,"purple"
748,35.0275496,-118.1369689,0,"purple"
760,35.0275511,-118.1369036,0,"purple"
772,35.0275527,-118.1368384,0,"purple"
784,35.0275542,-118.1367732,0,"purple"
796,35.0275557,-118.1367079,0,"purple"
808,35.0275572,-118.1366427,0,"purple"
820,35.0275587,-118.1365775,0,"blue"
832,35.0275602,-118.1365122,0,"blue"
833,35.0274675,-118.1365121,0,"blue"
821,35.0274660,-118.1365773,0,"blue"
