id,northing,easting,z,color
08.S4.R23.K,2165243.31,6531859.14,0,Blue - White
08.S4.R23.L,2165213.69,6531859.14,0,Blue - Black
08.S4.R24.A,2165565.91,6531877.14,0,Blue - Black
08.S4.R24.B,2165536.3,6531877.14,0,Blue - White
08.S4.R24.C,2165506.69,6531877.14,0,Blue - White
08.S4.R24.D,2165472.94,6531877.14,0,Blue - White
08.S4.R24.E,2165439.19,6531877.14,0,Pink - White
08.S4.R24.F,2165405.44,6531877.14,0,Pink - White
08.S4.R24.G,2165373.17,6531877.14,0,Green
08.S4.R24.H,2165340.9,6531877.14,0,Pink - White
08.S4.R24.I,2165307.15,6531877.14,0,Pink - White
08.S4.R24.J,2165273.4,6531877.14,0,Blue - White
08.S4.R24.K,2165243.79,6531877.14,0,Blue - White
08.S4.R24.L,2165214.18,6531877.14,0,Blue - Black
08.S4.R25.A,2165566.39,6531895.14,0,Blue - Black
08.S4.R25.B,2165536.78,6531895.14,0,Blue - White
08.S4.R25.C,2165507.17,6531895.14,0,Blue - White
08.S4.R25.D,2165473.42,6531895.14,0,Blue - White
08.S4.R25.E,2165439.67,6531895.14,0,Pink - White
08.S4.R25.F,2165405.92,6531895.14,0,Pink - White
08.S4.R25.G,2165373.65,6531895.14,0,Green
08.S4.R25.H,2165341.38,6531895.14,0,Pink - White
08.S4.R25.I,2165307.63,6531895.14,0,Pink - White
08.S4.R25.J,2165273.88,6531895.14,0,Blue - White
08.S4.R25.K,2165244.27,6531895.14,0,Blue - White
08.S4.R25.L,2165214.66,6531895.14,0,Blue - Black
08.S4.R26.A,2165566.87,6531913.14,0,Blue - Black
08.S4.R26.B,2165537.26,6531913.14,0,Blue - White
08.S4.R26.C,2165507.65,6531913.14,0,Blue - White
08.S4.R26.D,2165473.9,6531913.14,0,Blue - White
08.S4.R26.E,2165440.15,6531913.14,0,Pink - White
08.S4.R26.F,2165406.41,6531913.14,0,Pink - White
08.S4.R26.G,2165374.13,6531913.14,0,Green
08.S4.R26.H,2165341.86,6531913.14,0,Pink - White
08.S4.R26.I,2165308.11,6531913.14,0,Pink - White
08.S4.R26.J,2165274.36,6531913.14,0,Blue - White
08.S4.R26.K,2165244.75,6531913.14,0,Blue - White
08.S4.R26.L,2165215.14,6531913.14,0,Blue - Black
08.S4.R27.A,2165567.36,6531931.14,0,Blue - Black
08.S4.R27.B,2165537.74,6531931.14,0,Blue - White
08.S4.R27.C,2165508.13,6531931.14,0,Blue - White
08.S4.R27.D,2165474.38,6531931.14,0,Blue - White
08.S4.R27.E,2165440.64,6531931.14,0,Pink - White
08.S4.R27.F,2165406.89,6531931.14,0,Pink - White
08.S4.R27.G,2165374.62,6531931.14,0,Green
08.S4.R27.H,2165342.34,6531931.14,0,Pink - White
08.S4.R27.I,2165308.59,6531931.14,0,Pink - White
08.S4.R27.J,2165274.85,6531931.14,0,Blue - White
08.S4.R27.K,2165245.23,6531931.14,0,Blue - White
08.S4.R27.L,2165215.62,6531931.14,0,Blue - Black
